timestamp,ActivePower,Pitch,GenRPM,WindSpeed,WindDirection,YawAngle,AirHumidity,AirPressure,TSR,YawOffset,TI_0
2023-10-26 14:30:00+00:00,5974.733108108108,1.5643029946495186,10.0,12.061245421245424,145.83576788525465,145.83576788525465,89.0,991.0,6.685396791620203,0.0,0.08230666820911385
2023-10-26 14:40:00+00:00,5988.704403669726,2.6272330556413834,10.0,12.486566037735846,146.81418918985867,146.81418918985867,89.0,991.0,6.4576770905989775,0.0,0.0813634552058716
2023-10-26 14:50:00+00:00,5954.401386481802,-0.6985327159653735,10.0,11.678007518796992,145.3063367248833,145.3063367248833,89.0,991.0,6.904791875869981,0.0,0.08316616568885671
2023-10-26 15:00:00+00:00,5986.46506849315,3.34862493146987,10.0,12.703490401396158,145.31585524023376,145.31585524023376,89.0,991.0,6.347406019472888,0.0,0.08088943132705892
2023-10-26 15:10:00+00:00,5997.72233856894,1.499628068933125,10.0,12.146949458483752,142.62865996858193,142.62865996858193,90.0,991.0,6.638227294657998,0.0,0.08211544417732303
2023-10-26 15:20:00+00:00,5973.019395017797,2.338148884728868,10.0,12.23089668615984,137.1000048291288,137.1000048291288,90.0,991.0,6.592665567470746,0.0,0.08192863940340216
2023-10-26 15:30:00+00:00,6003.988984509469,4.902377936534766,10.0,13.122499999999995,136.82954404959662,136.82954404959662,90.0,991.0,6.144729391666074,0.0,0.07999265331746648
2023-10-26 15:40:00+00:00,5572.290909090909,1.6183145681458913,9.5,11.906746765249531,130.47677405504243,130.47677405504243,90.0,991.0,6.433537420448008,0.0,0.08265246028664272
2023-10-26 15:50:00+00:00,4507.600000000002,-2.559999937508774,9.391304347826088,9.865009208103132,125.2122489746934,125.21224897469348,90.0,991.0,7.6762261902205235,-8.526512829121202e-14,0.08715708230082252
2023-10-26 16:00:00+00:00,2957.3095652173915,-3.506697170778152,9.27777777777778,8.503429118773951,122.5095012616382,122.5095012616382,90.0,991.0,8.797701310813855,0.0,0.08978011570039071
2023-10-26 16:10:00+00:00,3040.3845360824744,-3.4859744967040367,9.176470588235292,8.899861351819764,121.44646652472336,121.44646652472336,90.0,991.0,8.314033673715933,0.0,0.08906975167293749
2023-10-26 16:20:00+00:00,3790.274125874128,-3.2552028846036904,9.538461538461538,9.47258364312267,118.15974998313412,118.15974998313412,90.0,991.0,8.119498898100664,0.0,0.08796195896871997
2023-10-26 16:30:00+00:00,3517.6394782608704,-3.373828054405749,9.142857142857142,9.020944741532986,118.88727086698977,118.88727086698977,90.0,991.0,8.172393215625917,0.0,0.08884303982786804
2023-10-26 16:40:00+00:00,3468.7275261324044,-3.491999913215637,9.363636363636363,8.955845588235302,116.51703279001106,116.51703279001106,90.0,991.0,8.430576733084576,0.0,0.0889654642729327
2023-10-26 16:50:00+00:00,3565.355821917808,-3.782311470664326,9.0,9.34165454545455,111.8774110248924,111.8774110248924,90.0,991.0,7.76851573185562,0.0,0.08822278407472453
2023-10-26 17:00:00+00:00,1411.1886402753871,-3.401682611841422,7.863636363636363,6.722771929824564,124.04164706927656,124.04164706927656,90.0,991.0,9.431795751341019,0.0,0.09219856087305753
2023-10-26 17:10:00+00:00,984.5036020583186,-3.409030765163741,6.928571428571429,6.070128676470584,121.73046625776,121.73046625776,89.0,991.0,9.203757009780949,0.0,0.09268308333437428
2023-10-26 17:20:00+00:00,2804.436952714533,-3.324514701396604,8.352941176470589,8.484675090252704,129.5886086014359,129.58860860143585,89.0,991.0,7.938227661316496,5.684341886080802e-14,0.0898124307452976
2023-10-26 17:30:00+00:00,3743.60884955752,-3.060466591194272,9.2,9.533390151515157,119.48880660737284,119.48880660737284,89.0,991.0,7.781436964999998,0.0,0.08783943960225314
2023-10-26 17:40:00+00:00,5839.812720848054,1.2039148687642622,9.5,11.945572815533978,109.32393477403474,109.32393477403474,89.0,991.0,6.412626841168933,0.0,0.08256544894477155
2023-10-26 17:50:00+00:00,5598.628842832469,-1.3259529097772695,9.5,11.183776978417264,109.10227817548964,109.10227817548964,89.0,991.0,6.8494302969256795,0.0,0.0842772873796085
2023-10-26 18:00:00+00:00,3675.000345423142,-3.7724874636427086,8.75,9.344660377358492,105.40623625544008,105.40623625544008,89.0,991.0,7.550294196118762,0.0,0.08821684322514303
2023-10-26 18:10:00+00:00,2373.8818181818183,-3.5211627164552377,9.045454545454543,7.875340501792118,106.9171675321238,106.9171675321238,84.0,990.0,9.261480113049759,0.0,0.09079149997959537
2023-10-26 18:20:00+00:00,1618.4798464491355,-3.412424166997274,7.576923076923077,7.247892473118286,121.65027330269209,121.65027330269214,84.0,990.0,8.429474081347337,-5.684341886080802e-14,0.09163742554934863
2023-10-26 18:30:00+00:00,1626.6487588652471,-3.3445293370415183,7.576923076923077,7.025236363636359,155.756334850106,155.756334850106,84.0,990.0,8.696635754888531,0.0,0.09189277983442255
2023-10-26 18:40:00+00:00,1553.4813588850182,-3.3817646339827894,8.055555555555555,6.802411214953271,163.84895525930892,163.84895525930892,84.0,990.0,9.548869502665289,0.0,0.09212279092619513
2023-10-26 18:50:00+00:00,1819.793793103448,-3.3442856475285123,8.166666666666666,7.1869176882662025,168.51788004731145,168.51788004731145,84.0,990.0,9.162658532357876,0.0,0.09170981888507132
2023-10-26 19:00:00+00:00,1346.3189982728843,-3.381899926662445,7.454545454545454,6.451913357400723,174.79166337576214,174.79166337576214,84.0,990.0,9.316482740695209,0.0,0.09242985199961529
2023-10-26 19:10:00+00:00,1014.4110356536502,-3.414814745938336,7.0,5.875915750915748,181.44575968884183,181.44575968884183,87.0,990.0,9.605983203673395,0.0,0.09277742311254669
2023-10-26 19:20:00+00:00,557.1485239852402,27.09956040753097,4.578947368421052,6.414177215189877,201.4896899024357,201.4896899024357,87.0,990.0,5.7563082200677025,0.0,0.09245875029763237
2023-10-26 19:30:00+00:00,1227.0402417962002,-3.423201901572092,7.428571428571429,6.328830935251797,196.1527921311242,196.1527921311242,87.0,990.0,9.464575770985142,0.0,0.09252103004390128
2023-10-26 19:40:00+00:00,1050.2656462585037,-3.4094116968267105,6.5,5.990923623445827,191.4375009817976,191.4375009817976,87.0,990.0,8.748607181749303,0.0,0.09272444499330039
2023-10-26 19:50:00+00:00,840.2410562180584,-3.437176407084745,6.333333333333333,5.450526315789475,186.47222769914904,186.47222769914904,87.0,990.0,9.369431675876084,0.0,0.09289779992680144
2023-10-26 20:00:00+00:00,516.702065404475,-3.4657193662451324,6.333333333333333,4.718792184724688,185.35227376448685,185.35227376448685,87.0,990.0,10.822331629409021,0.0,0.09280599769599868
2023-10-26 20:10:00+00:00,362.0196864111498,-3.472313372056876,6.333333333333333,4.40966165413534,181.2453691343817,181.2453691343817,86.0,991.0,11.581009591849902,0.0,0.09264466254011866
2023-10-26 20:20:00+00:00,269.1184482758622,-3.4657462070237344,6.333333333333333,4.12869090909091,177.840915143576,177.840915143576,86.0,991.0,12.369134681626903,0.0,0.09243070399457655
2023-10-26 20:30:00+00:00,227.98564102564103,-3.464746315410172,6.333333333333333,4.011660714285715,177.840915143576,177.840915143576,86.0,991.0,12.729973332863697,0.0,0.09232204703603729
